,SALES,ORDERDATE,STATUS,PRODUCTLINE,COUNTRY,DEALSIZE
0,2765.9,2003-05-07,Shipped,Motorcycles,France,Small
1,3884.34,2003-07-01,Shipped,Motorcycles,France,Medium
2,3746.7,2003-08-25,Shipped,Motorcycles,USA,Medium
3,5205.27,2003-10-10,Shipped,Motorcycles,USA,Medium
4,3479.76,2003-10-28,Shipped,Motorcycles,USA,Medium
5,2497.77,2003-11-11,Shipped,Motorcycles,France,Small
6,5512.32,2003-11-18,Shipped,Motorcycles,Norway,Medium
7,2168.54,2003-12-01,Shipped,Motorcycles,USA,Small
8,4708.44,2004-01-15,Shipped,Motorcycles,France,Medium
9,3965.66,2004-02-20,Shipped,Motorcycles,Australia,Medium
10,2333.12,2004-04-05,Shipped,Motorcycles,USA,Small
11,3188.64,2004-05-18,Shipped,Motorcycles,USA,Medium
12,3676.76,2004-06-28,Shipped,Motorcycles,USA,Medium
13,4177.35,2004-07-23,Shipped,Motorcycles,France,Medium
14,4099.68,2004-08-27,Shipped,Motorcycles,USA,Medium
15,2597.39,2004-09-30,Shipped,Motorcycles,Finland,Small
16,4394.38,2004-10-15,Shipped,Motorcycles,Norway,Medium
17,4358.04,2004-11-02,Shipped,Motorcycles,USA,Medium
18,4396.14,2004-11-15,Shipped,Motorcycles,USA,Medium
19,7737.93,2004-11-24,Shipped,Motorcycles,Austria,Large
20,1451.0,2004-12-17,Shipped,Motorcycles,Australia,Small
21,733.11,2005-02-03,Shipped,Motorcycles,France,Small
22,3207.12,2005-03-03,Shipped,Motorcycles,USA,Medium
23,2434.56,2005-04-08,Shipped,Motorcycles,UK,Small
24,7516.08,2005-05-13,Disputed,Motorcycles,Spain,Large
25,5404.62,2003-01-29,Shipped,Classic Cars,Norway,Medium
26,7209.11,2003-03-24,Shipped,Classic Cars,Sweden,Large
27,7329.06,2003-05-28,Shipped,Classic Cars,Spain,Large
28,7374.1,2003-07-24,Shipped,Classic Cars,USA,Large
29,10993.5,2003-09-19,Shipped,Classic Cars,Singapore,Large
30,4860.24,2003-10-20,Shipped,Classic Cars,USA,Medium
31,8014.82,2003-11-06,Shipped,Classic Cars,Australia,Large
32,5372.57,2003-11-13,Shipped,Classic Cars,USA,Medium
33,7290.36,2003-11-25,Shipped,Classic Cars,France,Large
34,9064.89,2003-12-05,Shipped,Classic Cars,Canada,Large
35,6075.3,2004-01-29,Shipped,Classic Cars,USA,Medium
36,6463.23,2004-03-10,Shipped,Classic Cars,USA,Medium
37,6120.34,2004-05-04,Shipped,Classic Cars,USA,Medium
38,7680.64,2004-06-15,Shipped,Classic Cars,Japan,Large
39,4905.39,2004-07-19,Shipped,Classic Cars,Australia,Medium
40,8014.82,2004-08-17,Shipped,Classic Cars,Italy,Large
41,7136.19,2004-09-08,Shipped,Classic Cars,Sweden,Large
42,10172.7,2004-10-11,Shipped,Classic Cars,France,Large
43,11623.7,2004-10-21,Shipped,Classic Cars,USA,Large
44,6000.4,2004-11-04,Shipped,Classic Cars,USA,Medium
45,3003.0,2004-11-18,Shipped,Classic Cars,USA,Medium
46,3944.7,2004-11-29,Shipped,Classic Cars,Australia,Medium
47,5691.84,2004-12-10,Shipped,Classic Cars,USA,Medium
48,4514.92,2005-01-20,Shipped,Classic Cars,USA,Medium
49,8254.8,2005-02-17,Shipped,Classic Cars,USA,Large
50,2416.56,2005-03-09,Shipped,Classic Cars,Australia,Small
51,4140.23,2005-05-01,Shipped,Classic Cars,Canada,Medium
52,12001.0,2005-05-31,In Process,Classic Cars,Spain,Large
53,3896.49,2003-02-24,Shipped,Motorcycles,USA,Medium
54,2793.86,2003-04-29,Shipped,Motorcycles,Australia,Small
55,3307.77,2003-07-01,Shipped,Motorcycles,France,Medium
56,5192.95,2003-08-25,Shipped,Motorcycles,USA,Medium
57,5016.83,2003-10-10,Shipped,Motorcycles,USA,Medium
58,3660.93,2003-10-28,Shipped,Motorcycles,USA,Medium
59,4695.6,2003-11-11,Shipped,Motorcycles,France,Medium
60,3660.92,2003-11-18,Shipped,Motorcycles,Norway,Medium
61,3025.92,2003-12-01,Shipped,Motorcycles,USA,Medium
62,3009.09,2004-01-12,Shipped,Motorcycles,Japan,Medium
63,5422.39,2004-02-20,Shipped,Motorcycles,Australia,Medium
64,2852.08,2004-04-03,Shipped,Motorcycles,USA,Small
65,5756.52,2004-05-18,Shipped,Motorcycles,USA,Medium
66,4472.0,2004-06-28,Shipped,Motorcycles,USA,Medium
67,2904.44,2004-07-23,Shipped,Motorcycles,France,Small
68,6484.59,2004-08-27,Shipped,Motorcycles,USA,Medium
69,3757.26,2004-09-27,Shipped,Motorcycles,France,Medium
70,4043.96,2004-10-15,Shipped,Motorcycles,USA,Medium
71,5566.5,2004-11-02,Shipped,Motorcycles,USA,Medium
72,3176.0,2004-11-15,Shipped,Motorcycles,USA,Medium
73,2756.8,2004-11-23,Shipped,Motorcycles,Japan,Small
74,1329.9,2004-12-17,Shipped,Motorcycles,Australia,Small
75,5288.01,2005-02-02,Shipped,Motorcycles,Australia,Medium
76,2225.5,2005-03-03,Shipped,Motorcycles,USA,Small
77,5833.8,2005-04-07,Shipped,Motorcycles,France,Medium
78,5887.35,2005-05-13,Disputed,Motorcycles,Spain,Medium
79,6065.55,2003-02-24,Shipped,Motorcycles,USA,Medium
80,9264.86,2003-04-29,Shipped,Motorcycles,Australia,Large
81,7023.98,2003-07-01,Shipped,Motorcycles,France,Large
82,5176.38,2003-08-25,Shipped,Motorcycles,USA,Medium
83,4132.7,2003-10-10,Shipped,Motorcycles,USA,Medium
84,4183.0,2003-10-28,Shipped,Motorcycles,USA,Medium
85,8892.9,2003-11-11,Shipped,Motorcycles,France,Large
86,8714.7,2003-11-18,Shipped,Motorcycles,Norway,Large
87,8065.89,2003-12-01,Shipped,Motorcycles,USA,Large
88,6123.4,2004-01-12,Shipped,Motorcycles,Japan,Medium
89,9774.03,2004-02-20,Shipped,Motorcycles,Australia,Large
90,7023.9,2004-04-05,Shipped,Motorcycles,USA,Large
91,7078.23,2004-05-18,Shipped,Motorcycles,USA,Large
92,8336.94,2004-06-28,Shipped,Motorcycles,USA,Large
93,6901.92,2004-07-23,Shipped,Motorcycles,France,Medium
94,5438.07,2004-08-27,Shipped,Motorcycles,USA,Medium
95,6683.34,2004-09-30,Shipped,Motorcycles,Finland,Medium
96,4570.4,2004-10-15,Shipped,Motorcycles,USA,Medium
97,7667.14,2004-11-02,Shipped,Motorcycles,USA,Large
98,5868.2,2004-11-15,Shipped,Motorcycles,USA,Medium
99,2990.13,2004-11-23,Shipped,Motorcycles,Japan,Small
100,3664.1,2005-01-05,Shipped,Motorcycles,USA,Medium
101,3834.38,2005-02-02,Shipped,Motorcycles,Australia,Medium
102,1822.17,2005-03-03,Shipped,Motorcycles,USA,Small
103,11886.6,2005-04-08,Shipped,Motorcycles,UK,Large
104,9218.16,2005-05-13,Disputed,Motorcycles,Spain,Large
105,7208.0,2003-02-11,Shipped,Classic Cars,Denmark,Large
106,5004.8,2003-04-28,Shipped,Classic Cars,Austria,Medium
107,4398.24,2003-06-12,Shipped,Classic Cars,UK,Medium
108,5597.76,2003-08-10,Shipped,Classic Cars,USA,Medium
109,4526.08,2003-10-06,Shipped,Classic Cars,Finland,Medium
110,5924.16,2003-10-23,Cancelled,Classic Cars,Sweden,Medium
111,3492.48,2003-11-08,Shipped,Classic Cars,France,Medium
112,3854.24,2003-11-14,Shipped,Classic Cars,UK,Medium
113,5324.4,2003-11-26,Shipped,Classic Cars,Spain,Medium
114,5197.92,2004-01-09,Shipped,Classic Cars,USA,Medium
115,5997.6,2004-02-19,Shipped,Classic Cars,USA,Medium
116,2910.4,2004-05-07,Cancelled,Classic Cars,USA,Small
117,3378.24,2004-06-17,Shipped,Classic Cars,Canada,Medium
118,3508.8,2004-07-21,Shipped,Classic Cars,Belgium,Medium
119,2992.0,2004-08-20,Shipped,Classic Cars,Canada,Small
120,3427.2,2004-09-10,Shipped,Classic Cars,USA,Medium
121,2692.8,2004-10-14,Shipped,Classic Cars,USA,Small
122,4128.96,2004-11-01,Shipped,Classic Cars,UK,Medium
123,3051.71,2004-11-05,Shipped,Classic Cars,Norway,Medium
124,1201.25,2004-11-21,Shipped,Classic Cars,USA,Small
125,1962.22,2004-12-02,Shipped,Classic Cars,Spain,Small
126,2624.64,2004-12-15,Shipped,Classic Cars,France,Small
127,4046.25,2005-01-31,Shipped,Classic Cars,Finland,Medium
128,4846.7,2005-02-23,Shipped,Classic Cars,USA,Medium
129,3370.56,2005-03-17,Shipped,Classic Cars,France,Medium
130,9661.44,2005-04-01,Shipped,Classic Cars,USA,Large
131,2764.88,2005-05-06,On Hold,Classic Cars,USA,Small
132,5398.26,2003-01-29,Shipped,Classic Cars,Norway,Medium
133,4305.28,2003-04-01,Shipped,Classic Cars,France,Medium
134,3347.74,2003-05-28,Shipped,Classic Cars,Spain,Medium
135,3188.12,2003-07-24,Shipped,Classic Cars,USA,Medium
136,3191.2,2003-09-19,Shipped,Classic Cars,Singapore,Medium
